trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
182,False,"{'a': 0.4, 'e': 0.27199999999999935}",20,7,-0.5598914250721854,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
183,False,"{'a': 0.4, 'e': 0.26799999999999935}",25,13,22.535822256977248,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.4, 'e': 0.26399999999999935}",30,16,-20.959001311570525,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
185,False,"{'a': 0.4, 'e': 0.25999999999999934}",30,11,31.25810635130425,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.4, 'e': 0.25599999999999934}",25,14,-46.55893189217243,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
187,False,"{'a': 0.4, 'e': 0.25199999999999934}",25,0,2.0843717572838543,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
188,False,"{'a': 0.4, 'e': 0.24799999999999933}",20,6,10.790767427274746,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.4, 'e': 0.24399999999999933}",20,9,4.612632839866259,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.4, 'e': 0.23999999999999932}",25,0,20.97000054536727,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.4, 'e': 0.23599999999999932}",25,10,-28.71967420724219,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 0}",1
192,False,"{'a': 0.4, 'e': 0.23199999999999932}",20,1,12.470091333688014,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.4, 'e': 0.22799999999999931}",20,13,-1.8812663577267472,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.4, 'e': 0.2239999999999993}",20,0,21.554314440397953,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.4, 'e': 0.2199999999999993}",25,0,27.085640298755877,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
196,False,"{'a': 0.4, 'e': 0.2159999999999993}",25,15,-22.602722969456508,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
