trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
204,False,"{'a': 0.5, 'e': 0.18399999999999928}",20,11,11.828882034052203,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.17999999999999927}",25,13,20.015189720554766,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.17599999999999927}",20,5,3.9546854900368844,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.17199999999999926}",25,14,5.657645825307952,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.16799999999999926}",20,5,7.9624694048465345,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.16399999999999926}",30,15,8.664730824111436,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,4,18.11014066799088,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.15599999999999925}",25,14,21.008981025769913,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.15199999999999925}",30,8,15.302008497441898,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.14799999999999924}",25,15,-23.13661000494203,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
214,False,"{'a': 0.5, 'e': 0.14399999999999924}",25,7,26.65762781123632,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.13999999999999924}",25,0,14.117886763532118,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
216,False,"{'a': 0.5, 'e': 0.13599999999999923}",25,14,24.568128368521506,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.13199999999999923}",25,13,9.28762156433763,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.12799999999999923}",35,9,38.48216756676971,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.12399999999999922}",25,20,9.366270074140594,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.11999999999999922}",25,12,8.14060265217607,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.11599999999999921}",25,18,13.116358943519376,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.11199999999999921}",35,16,28.771199257551427,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.10799999999999921}",30,10,32.36637829636416,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.1039999999999992}",20,11,16.938708998266744,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.0999999999999992}",30,15,26.391522730850763,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.0959999999999992}",25,11,17.530682940401654,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.0919999999999992}",30,10,33.652766975408554,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.08799999999999919}",25,17,18.564084988195486,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
